,Unnamed: 0,latitude,longitude,neighborhood,seller_id,seller_city,seller_state,real_estate_agency,seller_cancelations,seller_claims,seller_handling_time,seller_sales,currency_id,item_condition,has_air_conditioning,bedrooms,covered_area,full_bathrooms,rooms,total_area,operation,property_type,food_and_drinks_stores,spa,transport_facilities,parking,school_universities,airports,hospitals,retail_stores,laundry,gym,pet_services,car_services,culture_and_entertainment,house_services,public_forces,banks_atms,green_spaces,funerary_services,dist_to_popular_neighborhood,Cocheras,Cantidad de pisos,Disposición,Antigüedad,img_count,description,real_neighborhood,Antigüedad_discretizada,has_pool,has_terrace,has_jacuzzi,has_washer,has_gym,has_cochera,has_amenities,has_elevator,has_parquet_floor,has_security,has_service_dependency,is_luminous,is_recycled,needs_recycling,has_underfloor_heating,was_revaluated,allows_pets,tipo_inmueble,comuna_caba,avg_crime,close_places,expensas_discretizadas,price,pred_price
1872,10783,-34.58561,-58.45295,15,233404786.0,33,1,True,0.0,0.0,0.0,0.0,0,1,False,2.0,56.0,1.0,3.0,56.0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,1,1,249,0.0,1.0,1,65.0,15.0,18466,8,3,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,1,15,9496.0,9,1,99000.0,109031.34472390573
1873,23972,-34.62606,-58.38271,17,38281843.0,234,0,True,0.0,0.0,0.0,0.0,0,1,False,0.0,35.0,1.0,1.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,9877,0.0,7.0,0,7.0,9.0,4933,11,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,24616.0,4,1,50000.0,82566.86340313856
1874,14126,-34.604935,-58.503166,52,133868401.0,363,1,True,0.0,0.0,0.0,0.0,0,0,True,2.0,72.0,2.0,3.0,82.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,31139,1.0,6.0,1,0.0,23.0,38393,36,0,True,True,False,True,True,True,False,False,True,True,False,True,False,False,False,False,False,1,11,8023.333333333333,4,0,299000.0,117170.96965115439
1875,47383,-34.62586,-58.432606,12,195203428.0,290,1,True,0.0,0.0,0.0,0.0,0,1,True,3.0,125.0,3.0,4.0,125.0,0,0,3,0,0,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,11687,2.0,7.0,0,10.0,14.0,42964,7,2,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,1,6,7021.333333333333,9,0,370000.0,128458.52023827565
1876,52157,-34.590523,-58.411102,29,502038560.0,256,1,True,0.0,0.0,0.0,0.0,0,1,False,1.0,31.0,1.0,2.0,31.0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,3,0,0,2,0,0,16287,0.0,8.0,0,40.0,14.0,43208,27,1,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,1,2,7633.666666666667,10,1,66000.0,82279.47178547375
1877,2214,-34.647804,-58.500362,23,56289120.0,220,1,True,0.0,0.0,0.0,0.0,0,0,False,2.0,56.0,2.0,3.0,74.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,14617,1.0,4.0,1,0.0,21.0,25967,15,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,1,9,9462.666666666666,5,3,159900.0,120782.15499249638
1878,18590,-34.607338,-58.411873,2,385463157.0,361,1,True,0.0,0.0,0.0,0.0,0,1,True,1.0,36.0,1.0,2.0,38.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,0,25326,0.0,7.0,2,45.0,15.0,31542,2,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,3,14073.666666666666,6,1,57000.0,86480.93805146703
1879,34718,-34.632103,-58.456913,18,173944326.0,256,1,True,0.0,0.0,0.0,0.0,0,0,True,0.0,24.0,1.0,1.0,28.0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,3628,0.0,12.0,1,0.0,12.0,32964,12,0,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,1,7,12391.333333333334,7,3,58094.0,89859.13032714519
1880,28422,-34.63926,-58.490143,49,99754340.0,79,1,True,0.0,0.0,0.0,0.0,0,0,True,1.0,35.0,1.0,2.0,35.0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,1,0,0,0,0,2543,0.0,5.0,2,0.0,20.0,41245,33,0,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,1,10,7686.666666666667,6,3,72500.0,93957.21046482677
1881,22289,-34.603146,-58.390724,16,57774022.0,28,1,True,0.0,0.0,0.0,0.0,0,1,False,0.0,26.0,1.0,1.0,26.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13767,0.0,8.0,2,41.0,13.0,36110,31,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,24616.0,3,1,39000.0,79469.0387689394
